[2025-09-26 09:44:42.557] [Thread:1] [INFO] Logger inicializado com sucesso
[2025-09-26 09:44:42.558] [Thread:1] [INFO] Iniciando teste de logging concorrente
[2025-09-26 09:44:42.780] [Thread:5] [WARNING] Worker 3 - Mensagem 14
[2025-09-26 09:44:42.780] [Thread:3] [WARNING] Worker 1 - Mensagem 14
[2025-09-26 09:44:42.780] [Thread:2] [WARNING] Worker 0 - Mensagem 14
[2025-09-26 09:44:42.780] [Thread:4] [WARNING] Worker 2 - Mensagem 14
[2025-09-26 09:44:42.781] [Thread:6] [WARNING] Worker 4 - Mensagem 14
[2025-09-26 09:44:42.796] [Thread:4] [ERROR] Worker 2 - Mensagem 15
[2025-09-26 09:44:42.796] [Thread:2] [ERROR] Worker 0 - Mensagem 15
[2025-09-26 09:44:42.796] [Thread:6] [ERROR] Worker 4 - Mensagem 15
[2025-09-26 09:44:42.796] [Thread:3] [ERROR] Worker 1 - Mensagem 15
[2025-09-26 09:44:42.796] [Thread:5] [ERROR] Worker 3 - Mensagem 15
[2025-09-26 09:44:42.811] [Thread:3] [INFO] Worker 1 - Mensagem 16
[2025-09-26 09:44:42.811] [Thread:6] [INFO] Worker 4 - Mensagem 16
[2025-09-26 09:44:42.811] [Thread:2] [INFO] Worker 0 - Mensagem 16
[2025-09-26 09:44:42.812] [Thread:5] [INFO] Worker 3 - Mensagem 16
[2025-09-26 09:44:42.812] [Thread:4] [INFO] Worker 2 - Mensagem 16
[2025-09-26 09:44:42.824] [Thread:5] [DEBUG] Worker 3 - Mensagem 17
[2025-09-26 09:44:42.824] [Thread:4] [DEBUG] Worker 2 - Mensagem 17
[2025-09-26 09:44:42.825] [Thread:2] [DEBUG] Worker 0 - Mensagem 17
[2025-09-26 09:44:42.825] [Thread:6] [DEBUG] Worker 4 - Mensagem 17
[2025-09-26 09:44:42.825] [Thread:3] [DEBUG] Worker 1 - Mensagem 17
[2025-09-26 09:44:42.840] [Thread:6] [WARNING] Worker 4 - Mensagem 18
[2025-09-26 09:44:42.840] [Thread:4] [WARNING] Worker 2 - Mensagem 18
[2025-09-26 09:44:42.840] [Thread:5] [WARNING] Worker 3 - Mensagem 18
[2025-09-26 09:44:42.841] [Thread:3] [WARNING] Worker 1 - Mensagem 18
[2025-09-26 09:44:42.841] [Thread:2] [WARNING] Worker 0 - Mensagem 18
[2025-09-26 09:44:42.858] [Thread:5] [ERROR] Worker 3 - Mensagem 19
[2025-09-26 09:44:42.858] [Thread:2] [ERROR] Worker 0 - Mensagem 19
[2025-09-26 09:44:42.858] [Thread:3] [ERROR] Worker 1 - Mensagem 19
[2025-09-26 09:44:42.858] [Thread:6] [ERROR] Worker 4 - Mensagem 19
[2025-09-26 09:44:42.858] [Thread:4] [ERROR] Worker 2 - Mensagem 19
[2025-09-26 09:44:42.874] [Thread:1] [INFO] Teste de logging concorrente finalizado com sucesso
[2025-09-26 09:44:42.874] [Thread:1] [INFO] Logger sendo finalizado
